GeoFips,GeoName,LineCode,Description,gdp2018,gdp2017,gdp2016,gdp2015,gdp2014,gdp2013,gdp2012,gdp2011,gdp2010,gdp2009,gdp2008,gdp2007
13035,"Butts, GA",25,      Nondurable goods manufacturing,(D),(D),(D),(D),(D),(D),(D),(D),(D),23390,(D),29050
13035,"Butts, GA",34,    Wholesale trade,(D),(D),(D),(D),(D),(D),(D),(D),(D),27161,30840,32579
13035,"Butts, GA",35,    Retail trade,63157,60690,58982,57359,54685,53340,45489,42289,40911,41767,45127,50457
13035,"Butts, GA",36,    Transportation and warehousing,70341,50068,37237,41959,36655,38330,32619,31805,(D),(D),(D),(D)
13035,"Butts, GA",45,    Information,4390,3929,(D),2947,(D),(D),2672,2513,2220,(D),2012,2108
13035,"Butts, GA",50,"    Finance, insurance, real estate, rental, and leasing",142133,136077,127535,124069,119285,114322,110861,108083,109957,112378,119089,118048
13035,"Butts, GA",51,      Finance and insurance,27705,28244,27362,29118,31074,28642,28769,28796,33197,33343,44454,44259
13035,"Butts, GA",56,      Real estate and rental and leasing,114428,107832,100173,94951,88212,85679,82092,79288,76761,79034,74635,73790
13035,"Butts, GA",59,    Professional and business services,(D),(D),31592,(D),33982,34048,(D),(D),26484,18121,22153,21217
13035,"Butts, GA",60,"      Professional, scientific, and technical services",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),6617,6797
13035,"Butts, GA",64,      Management of companies and enterprises,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),5438,5328
13035,"Butts, GA",65,      Administrative and support and waste management and remediation services,14018,12802,13261,14343,18452,18701,17922,16542,15170,11389,10098,9092
13035,"Butts, GA",68,"    Educational services, health care, and social assistance",29432,26017,25157,23652,22044,20001,19342,19674,19558,21280,(D),(D)
13035,"Butts, GA",69,      Educational services,(D),(D),(D),(D),(D),(D),(D),(D),(D),371,(D),(D)
13035,"Butts, GA",70,      Health care and social assistance,(D),(D),(D),(D),(D),(D),(D),(D),(D),20909,(D),(D)
13035,"Butts, GA",75,"    Arts, entertainment, recreation, accommodation, and food services",24764,20689,18631,16899,16396,14620,13756,12428,12033,11256,11521,11323
13035,"Butts, GA",76,"      Arts, entertainment, and recreation",6922,4908,5095,4060,4036,3235,3197,2800,2358,1907,1756,1566
13035,"Butts, GA",79,      Accommodation and food services,17842,15781,13536,12838,12360,11385,10558,9629,9675,9348,9765,9758
13035,"Butts, GA",82,    Other services (except government and government enterprises),16082,14617,14041,13557,13436,12960,12711,12908,12875,14858,14551,14338
13035,"Butts, GA",83,Government and government enterprises,118261,115535,111596,109967,106404,105759,108013,101661,99673,93754,88805,83977
13035,"Butts, GA",,Addenda:,,,,,,,,,,,,
13035,"Butts, GA",87,Natural resources and mining,(D),(D),(D),(D),(D),2735,3166,2630,(D),(D),5121,7130
13035,"Butts, GA",88,Trade,(D),(D),(D),(D),(D),(D),(D),(D),(D),68927,75967,83036
13035,"Butts, GA",89,Transportation and utilities,83518,64773,50216,53690,48377,48889,42231,41646,(D),(D),(D),(D)
13035,"Butts, GA",90,Manufacturing and information,76261,71397,(D),60039,(D),(D),53749,53284,54859,(D),54931,67815
13035,"Butts, GA",91,Private goods-producing industries 2/,98519,111155,98210,78521,78073,69047,66965,67209,72517,76606,80146,100623
13035,"Butts, GA",92,Private services-providing industries 3/,429365,388027,357459,351955,341365,329193,305935,299853,294055,282345,300345,304540
13037,"Calhoun, GA",1,All industry total,132791,141675,125206,123309,115406,127614,148345,155775,144332,140941,145752,145985
13037,"Calhoun, GA",2,  Private industries,101119,110743,94951,92158,85373,97819,107035,117502,106496,104743,110326,110281
13037,"Calhoun, GA",3,"    Agriculture, forestry, fishing and hunting",21329,32452,20649,20320,16802,33830,43274,47177,34014,38044,(D),48282
13037,"Calhoun, GA",6,"    Mining, quarrying, and oil and gas extraction",399,328,223,119,0,0,0,0,0,0,0,0
13037,"Calhoun, GA",10,    Utilities,0,0,75,0,13,6,0,14,33,41,19,36
